essay_id,dataset,human_score_raw,human_score_norm,magic_score,magic_error,autoscore_holistic,autoscore_trait1,autoscore_trait2,autoscore_trait3,autoscore_trait4,autoscore_trait5,autoscore_error,magic_duration_sec,autoscore_duration_sec,timestamp
AAAVUP14319000159574,ASAP,4,4,5,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',47.0,0.0,2026-05-30T14:49:45
AAAVUP14319000159542,ASAP,2,2,4,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',36.2,0.0,2026-05-30T14:50:34
AAAVUP14319000159461,ASAP,3,3,3,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',36.8,0.0,2026-05-30T14:51:12
AAAVUP14319000159420,ASAP,2,2,5,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',44.0,0.0,2026-05-30T14:51:51
AAAVUP14319000159419,ASAP,2,2,5,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',36.7,0.0,2026-05-30T14:52:37
AAAVUP14319000159396,ASAP,3,3,5,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',43.0,0.0,2026-05-30T14:53:15
AAAVUP14319000159395,ASAP,1,0,4,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',42.7,0.0,2026-05-30T14:54:00
AAAVUP14319000159373,ASAP,3,3,5,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',46.0,0.0,2026-05-30T14:54:45
AAAVUP14319000159359,ASAP,3,3,6,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',45.9,0.0,2026-05-30T14:55:33
AAAVUP14319000159357,ASAP,2,2,5,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',47.5,0.0,2026-05-30T14:56:21
AAAVUP14319000159314,ASAP,3,3,4,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',47.3,0.0,2026-05-30T14:57:10
