essay_id,dataset,human_score_raw,human_score_norm,essay_text,essay_prompt,word_count
AAATRP14318000418363,ASAP2-balanced,6,6,"When a student is confused in school they are supposed to raise their hand. It's been taught that way since day one. Whether that is followed or not is hard to say. Some students are scared to raise their hand however, as they grow older and mature, they seem to find more courage to ask questions which is the way it has always been taught. Students generally make faces when they are confused, that can be beneficial to the teacher if they're paying attention. A recent computer software has been developed by Professor Thomas Haung that indicates peoples emotions. It was used on the Mona Lisa to get every percent of each emotion on her face. It was suggested that this software be put in schools to benefit students. However, this innovation should not be put into schools because of the varying ages of kids, how much it would actually be used, and the convienence of the schools budget and space in the classrooms.

This computer software that can tell every percent of what emotion on your face is a very fascinating concept but is not the most convienent for pre-school and elementary students. In the article ""Making Mona Lisa Smile"" it was said a classroom computer could recognize confusion or boredom from the students and then in which change the lesson for a more beneficial class (para 6). If this were to be put in place into an younger classroom it could be misleading. Younger kids have spunky behavior as their minds are still maturing and developing. They might find the software fun and amusing and make many facial expressions which would alter their lesson plan in class unaccordingly. Others may argue that little kids could possibly get bored of doing that every day and eventually calm down about it so then it would be useful. Though you never know when a little kid could find something fun again, it's just that easy and would then again rise to misleading lesson plans for the young students.

If this technology was put in a highschool classroom where students minds have better matured and developed it would be more successful. However, there would need to be a computer for every student and not all schools can provide that.

Some students may even find it uncomfortbale to have their expressions and themselves being watched and analyzed all day. As a result of knowing they are being recognized as confused, they could easily act and prevent their expression from giving that result or not even use them. People can already do the work of this software, friends can tell how you're feeling based on your facial expression (para 5). Also mentioned in ""Making Mono Lisa Smile"" people use their knowledge to tell whether a politician or celebrity is faking a smile or being truthful (para 8), again proving that people can already do what this software is, just not as precise with numbers. On the other hand, if these computers were installed in schools and became a regular thing, then it could eventually be excepted by students and they would actually use the software to their benefit.

Teachers would find this innovation helpful. They could argue that not all students express if they trully understand material or not. If they had this software it would accurately show them the truth about their students. But students could still refuse to use it which would lead teachers back to square one.

Maybe even before a students first day of school they were taught to raise their hand if they had something to say, it's normal. So let students do that because the computer software that tells every percent of every expression someone is having is unecessary to have in a school because of the varying ages of kids, how much it would actually be used, and the convienence of the schools budget and space in the classrooms.","In the article ""Making Mona Lisa Smile,"" the author describes how a new technology called the Facial Action Coding System enables computers to identify human emotions. Using details from the article, write an essay arguing whether the use of this technology to read the emotional expressions of students in a classroom is valuable.",652
AAAOPP13416000040074,ASAP2-balanced,4,4,"My opinion on driveless cars are that the are unsafe and not useful in anyway for my perspective.

They say driveless but yet have to be controled once the car realises it can't do a task so turns over to the driver for help.""Google cars aren't truly drivless; they still alert the driver to take over when pulling in andout of drivways or dealing with complicated traffic issues as navigating through roadwork or accidents."" They say we still need to take controll of a car that is suposavly drivless; how can a car be drivless if it can't even back out or pull in a drive way without having human help(?)

We must remain alert at all times while driving,'They can steer,accelerate,and brake themselves,but all are designed to notify the driver when the road ahead requires human skills,such as navagating through work zones and around accidents. This means the human driver must remain alert and be ready to take over when the situatin requires."" so why would we have a self driving car when we can just be alert on our own and drive our selfs. If we have self driving cars people aregonna think its ok to just go to sleep or something stupid as texting. The car is going and your texting it alerts you to take over but you dont know becuase your not paying attention. So their for self driving cars can be more hazerdous (in my case).It is best for you to pay attention full time not just when situations get tough.

I beleive the car is unsafe and not cappible of living up to its full name yes it can do certant things but not fully go on its own; it is unsafe and illegal in countrys. ""manufacturers believe that more states will follow as soon as the cars are proved more reliably safe."" So from my perspective the car isnt as safe as people think.

The technology may not work as certaint times so their for it may cause accidents without giving you any warnings. Whos fault would it be if a accident happend?""If the technology fals and someone is ijured, who is at fault the driver or the manufacture?"" I believe it would be the manufacturers fault because they biult and places the technology in the car but yet still had an accident happen.

MY resons to why i thinmk the ""driveless"" car is a bad idea may cause technology problems,whont drive on its own(fully),may cause people to fully not pay attention to the road, and we must be alert at all time reguardless if you are gonna cause an accident or if th person next to you dose so you can take a faster reaction.","In the article “Driverless Cars are Coming,” the author presents both positive and negative aspects of driverless cars. Using details from the article, create an argument for or against the development of these cars.  Be sure to include: your position on driverless cars; appropriate details from the article that support your position; an introduction, a body, and a conclusion to your argumentative essay.",454
AAAOPP13416000022602,ASAP2-balanced,5,5,"In our society, technology is advancing significantly by the day. What was once a letter that took 10-day trip overseas to its appropriate destination is now just a simple text message that reaches a person within seconds. The automobile is an innovation that has also advanced dramatically, enough to the point where almost every person who can afford to have one does because of its necessity when transportation becomes a factor. The idea of a car becoming ""driverless"" is simply another boost in the technology available to cars today, as discussed in ""Driverless Cars are Coming."" Due to its many benefits, driverless cars are a positive additon to our society.

Driverless cars offer a multitude of benefits for any passengers that might use them for transportation. For one, the necessity to have to buy or pay off a car would essentially cease to exist. If computer-operated vehicles were capable of driving in all areas, then what would the need for having your own car be? Even if the car wasn't ""fully automated"" and the driver would have to take over at some point, the less work you have to do, the more time you have to work on something else. The article addresses this topic ""Some manufacturers hope to do that by bringing in-car entertainment and information systems that use heads-up displays."" The biggest asset that the consumer gains from a driverless car is time, while still being transported in a safe and reliable vehicle. This reinforces the advantages available to consumers who use a driverless car.

Speaking of safety, there is not a vehicle more safe than one that is more or less ""automatic."" With autmoated cars, drivers will be able to transport themselves without having to add the extra element of driving into a day that might be stressful. However, not all cars are fully capable to driving themselves yet without driver assistance. The good news? This innovation still grants a tremendous amount of safety to the driver in charge. The features previously cited as being used as tiem fillers can also be quickly changed to inform the driver that they need to take over: ""Such displays can be turned off instantly when the driver needs to take over."" An advantage to this approach is that if all communication and distractions from within the car is shut down, then the driver has no choice but to focus on the road, another argument for the push of driverless cars.

The last topic at hand with these types of vehicles skims along the lines of controversial. Liability is a very integral part of the car industry, accidents will always be an issue, as cited by the article: ""If the technology fails and someone is injured, who is at fault-the driver or the manufacturer?"" Would smarter cars help this problem? First off, it's important to acknowledge that accidents happen on the open road every day, with the primary cause being mistakes that drivers make. Therefore, manual vechicles are not necessairily dangerous, but are not as reliable as an automatic vehicle. Think about other practical additions that help consumers, such as a lifeguard on a beach. If they weren't there, would we be as safe? Probably not. Therefore, if the addition of driverless cars ensures that a safer option is available, then it only makes sense that the advantage should be taken.

In conclusion, driverless cars have brought about many new benefits in our society. From their ease of access to consumers to the top level of safety features that are sure to be made available in them, they will clearly become the top option of vehicle to use in our society once enough of them are made. This technological innovation is capable of doing many wonders in the automotive industry.","In the article “Driverless Cars are Coming,” the author presents both positive and negative aspects of driverless cars. Using details from the article, create an argument for or against the development of these cars.  Be sure to include: your position on driverless cars; appropriate details from the article that support your position; an introduction, a body, and a conclusion to your argumentative essay.",629
AAAOPP13416000070827,ASAP2-balanced,3,2,"The Face is a natural landform, and we have proof that shows it such as several pictures taken, one clearer than the next. The brightest photo and the examination of the Face tell us there are no aliens on this planet.

Firstly, when NASA got the first picture, I concede that it looked somewhat alien-like, however, that was a huge misunderstanding. A more closely taken picture shows that it is, in fact, a natural landform. I know this because when the picture was taken, there was no alien monument. Therefore, no aliens, right? But the wispy clouds that were there when this picture was taken, envoke skeptics. A third picture silences them.

Secondly, once the skies above Cydonia (the place on Mars where the face is) are cleared, they go in for the third picture of the face. This picture proves to be the of the best quality. Stated in in the text, it reads, ""Each pixel in the 2001 image spans 1.56 meters, compared to 43 meters per pixel in the best 1976 viking photo.""

Proving this photo to be the most accurate. And when they examine the photo,it shows that the picture shows the Martian equivalent of a butte or mesa, common landforms in the American west. Garin then says, ""It reminds me most of Middle Butte in the Snake River Plain of Idaho.""

With the clearest pictures taken, we can all see that the planet of mars has no aliens, for the Face is a natural landform. Yes, people will believe what they will, but the examinations, and the clear pictures prove that the Face is close to a butte or mesa, common landforms found in the American West.","You have read the article 'Unmasking the Face on Mars.' Imagine you are a scientist at NASA discussing the Face with someone who thinks it was created by aliens. Using information in the article, write an argumentative essay to convince someone that the Face is just a natural landform.Be sure to include: claims to support your argument that the Face is a natural landform; evidence from the article to support your claims; an introduction, a body, and a conclusion to your argumentative essay.",282
AAAOPP13416000063986,ASAP2-balanced,3,2,"Luke bomberger is my name. I am here to provide exaples and state facts to make you want to join the Seagoing Cowboys program. This program is about helping people that got left in ruins not just after World War II. They help people if they need animals they will bring you animals from other countrys and if they need help building there houses and everything will bring you people that can build houses and better things!

Some reasons why you would want to join is because do you want to get drafted to the army? I don't think a lot of people do. So be a Seagoing Cowboy. If your with us you will not get drafted. Do you like animals you can help us by taking care of the animals. Another reason why you would like to join is because we have fun after we are done with everything we play table-tennis,fence,read,box,whittle,vollyball, and we also play baseball now doesn't that sound fun.""I don't even know what whittling is but i've done it before I think it's fun!""

That is why me,Luke Bomberger want you to join the Seagoing Cowboys. Also its not just work and play we also learn and get to vist a lot of cool places around the world. I crossed the Atlantic Ocean 16 times and the Pacific Ocean twice. It made me more aware of people in other countrys and their needs. Thats why I leaded my family to host a number of international of students and exchange vistors for many years. Thank you and good-bye.","You have just read the article, 'A Cowboy Who Rode the Waves.' Luke's participation in the Seagoing Cowboys program allowed him to experience adventures and visit many unique places. Using information from the article, write an argument from Luke's point of view convincing others to participate in the Seagoing Cowboys program. Be sure to include: reasons to join the program; details from the article to support Luke's claims; an introduction, a body, and a conclusion to your essay.",262
AAATRP14318000419047,ASAP2-balanced,3,2,"Being able to read a students emotinal expressions with technology isn't valuable. Like most classes, lessons aren't done on a computer so whenit is time to use the computer what will the emotion recognition be for. Aslo spending

a lot of money on something that can't help with leaning can be the cause of many prolems. The money that would be used on the new technology, could be better use in other parts of the classroom or certain clubs.

Having to us a computer just to tell if someone is happy or sad, is a waste of time when you can tell with your own eyes, ""...we humans perform this same impressive ""calculation"" every day"" (D'Alto). Even though the software uses technology to calculate every muscle in the face and give a detailed response to that persons evey emotion, one facial emotion can tell a lot about a persons day or just they way they act. Many people throughout the day show one emotion to hide the other because it brings tension to the ones that care about that person. ""...carefully reproduce smiling and frownign as a way of creating the emotions on stage""(D'Alto), this is an example of how facial expressions are used just to put on a scene.

Waisting time and money on 3D printers and computer software is useless when your main software is your own eyes. Schools always complain about they never have money for sports,clubs, and materials for classrooms, but alwys have time to update thier technology. Being able to tell how a person really feels is a cool way to learn more about them, but one emotion can be figured ut by that one persons facial expressiosn.","In the article ""Making Mona Lisa Smile,"" the author describes how a new technology called the Facial Action Coding System enables computers to identify human emotions. Using details from the article, write an essay arguing whether the use of this technology to read the emotional expressions of students in a classroom is valuable.",283
AAAOPP13416000036104,ASAP2-balanced,2,1,"Driverless cars are soon to come to us. But we don't know when they are going to be here. Technology is becoming more and more advanced as the years go on. We are already one step closer to having more advanced vehicles. Maybe driverless cars aren't such a bad thing.

We've all drooled over the flying cars and the cars that could drive themselves in movies and tv shows. ""In reality, Google has had cars that could drive independently under specific conditions since 2009"" (P2) But their cars aren't entirely driverless since they can't back out of driveways without some help or they need help navigating around roadwork or accidents. Cars are more so then less only assisting us. ""They can steer, accelerate, and brake themselves, but all are designed to notify the driver when the road ahead requires human skills."" (P7)

Driving a car that isn't completely driverless isn't that exciting. ""The physcological aspects of automation are really a challenge,"" admits Dr. Werner Huber, a BMW project manager driver. ""We have to interpret the driving fun in a new way."" (P8) Making driverless cars is going to be a real challenge. But as the road is out in front of us we get closer and closer to that point every day.","In the article “Driverless Cars are Coming,” the author presents both positive and negative aspects of driverless cars. Using details from the article, create an argument for or against the development of these cars.  Be sure to include: your position on driverless cars; appropriate details from the article that support your position; an introduction, a body, and a conclusion to your argumentative essay.",212
AAAOPP13416000040077,ASAP2-balanced,5,5,"Though driverless cars may be a thing of the future, my vote is a no. Driverless cars are a bad idea no matter who is behind the wheel. Not only are the drivers put at risk but other people on the roads are put in grave danger when a human is not controlling the vehicle. Driverless cars may appeal to the younger generation because of the flahy technology but the lack of safety tips the scales towards the negative side.

A driverless car's name portrays the idea that humans do not need to be in control of the car that idea is incorrect. Drivers must stay allert and focused while in a driverless car. This is evident when the text states,""They can steer, accelerate, and brake themselves, but all are designed to notify the driver when the road ahead requires human skills, such as navigating through work zones and around accidents."" (7) This is concerning because people today tend to get distracted while driving a normal car. If the actual driving factor is taken away, drivers could get distracted by almost anything from technology to falling asleep. This would result in serious fatality to not only th person behind the wheel but to people around them.

In addition, the new entertainment systems in a car may be a new and alien experiance, they point to a rough road ahead. In an attempt to get the driver to pay attention while driving a driverless car, entertainment systems may be inserted in the car. This is pointed out when the text says,""Some manufacturers hope to do that by bringing in-car entertainment and information systems that use heads-up displays."" (8) Though these systems may keep the driver engaged, when it is time to take over the shift from watching or listening to a system to driving a car may take an extended period of time. The driver would also need to gain a sense of where he or she is while driving in order to take control. This would result in an increase in accident on the road.

No one is perfect and accidents do happen but in a driverless car who is to blame? This issue could cause serious law cases and court battles over injuries or damages indured in a crash with a driverless car. The article suggestd this when the text says,""If the technology fails and someone is inhured, who is at fault-the driver or the manufacturer?"" (9) Not only does the confusion on who is to blame take immense time, it sucks thousands of dollars from the participants in a law suit. Though the court may rule otherwise, the accident could be a result of malfunctioning technology that can not be pinned to an individual.

On the other hand, driverless cars have multiple downsides, some aspects are clear improvements from automobiles today. The new sensor techology inserted into the driverless cars can improve braking and response to sudden stops. The author includes this in the arguement when they say,""The information from the sensors can cause the car to apply brakes on individual wheels and reduce power from the engine, allowing far better response and control than a human driver could manage alone."" (5) This would decrease the amount of damages done to cars from running into or backing over things because the sensors have eyes where the driver does not. The sensors can provide an advantage to safe driving that would not come from any ordinary car.

All in all, driverless cars are unsafe and an illogical invention. The lack of attention that is needed when not driving a car will result in mass accidents and injuries when a driver is needed. Entertainment systems in cars only add to the danger in driverless cars and are unnecessary. Crashes and accidents can not be settled or avenged in court because there is no clear cause to the incident. Though the sensor technology incorporated in the driverless cars gives an advantage for braking and controling the vehicle, the bad outweighs the good in this situation. Driverless cars may be a thing of the future but as of right now, humans are not ready to hit the road without a person behind the wheel.","In the article “Driverless Cars are Coming,” the author presents both positive and negative aspects of driverless cars. Using details from the article, create an argument for or against the development of these cars.  Be sure to include: your position on driverless cars; appropriate details from the article that support your position; an introduction, a body, and a conclusion to your argumentative essay.",702
AAAVUP14319000141617,ASAP2-balanced,1,0,"The idea of studying venus before you get there is good.There is a lot of ways the author supports his idea. some ideas are in paragraph 2, 3 and, 4 i know that because when is was reading that i saw them in the paragraphs.

It could help you find ways to not die, or ways of not getting sick. it could also you fiind of ways of fiinding new chemicals and if you find a new chemical it could make you rich. Or you could find a cure to a sicknes and the sicknes could be to anything. So basically all im saying is that if you study for your trip to venus you could learn so much stuff to do either save your life or even become rich. Also imagine what you could do with all that money you would make by finding aa cure making/creating a chemical or so much more. All im saying is that there is a lot fo good things that could but imot saying that there isnt bad things that cold happen to you. Also i'm pretty sure that your gonna wan to come home and see yuor family

So that all i have to say about the studying for venus challenge","In ""The Challenge of Exploring Venus,"" the author suggests studying Venus is a worthy pursuit despite the dangers it presents. Using details from the article, write an essay evaluating how well the author supports this idea. Be sure to include: a claim that evaluates how well the author supports the idea that studying Venus is a worthy pursuit despite the dangers; an explanation of the evidence from the article that supports your claim; an introduction, a body, and a conclusion to your essay.",209
AAAVUP14319000074947,ASAP2-balanced,1,0,"The aunthor supports the idea that studying Venus is a worthy pursuit despit the danger"",Venus is the closest planet to Earth terms of destiny and size and occasionally the closet in distance too. Earth, Venus, and Mar our other planetary neighbor that sometimes we are closer to Mars and other times to Venus. Because Venus is sometimes right around the corner in space terms human have sent sumerous spacecraft to land on this could-draped world. "" Venus has the closest planet to Earth that they are the same of destiny and size and Earth, Venus and Mars have the same orbit sun at their different speeds but Venus had the right around the corner in space sometimes. "" Venus has the hottest suface temperature of any planet in our solar system, even through Mercury is closer to our sun."" Venus is very hottest than planets in the solar system. Venus and Mercury are the hottest planets in the system that they are danger than planets.","In ""The Challenge of Exploring Venus,"" the author suggests studying Venus is a worthy pursuit despite the dangers it presents. Using details from the article, write an essay evaluating how well the author supports this idea. Be sure to include: a claim that evaluates how well the author supports the idea that studying Venus is a worthy pursuit despite the dangers; an explanation of the evidence from the article that supports your claim; an introduction, a body, and a conclusion to your essay.",165
